time,ca,eadx,easx,iadx,iasx,inlet,radx,rasx,sma
0.865,6.84766519287733,1.928992991871503,1.983574777774012,3.9199625860417315,1.3026480868374393,-27.332720880745498,2.372543795982388,5.1707393598115,3.8065941470108955
0.87,7.336012652856524,2.056879710940092,2.1266049326870595,4.100873174036324,1.39897184469937,-29.19168682361063,2.5523019665154014,5.530520315299954,4.089522286857743
0.875,7.911157056530472,2.208630707946601,2.2957826294832246,4.316402999323074,1.5126782287041043,-31.38506049858462,2.763913113960728,5.953411101900074,4.423084727034827
0.88,8.581166252832265,2.3869140518882923,2.493839608185395,4.570187871085282,1.6455301009045091,-33.94490044566881,3.010348337090169,6.444716327133791,4.812197966599628
0.885,9.351410453940655,2.593876782191267,2.7228370108204367,4.864994098841447,1.7988034334049277,-36.893212207357585,3.2935641760734944,7.00745079400539,5.260275537160467
0.89,10.224433974114827,2.831116378598458,2.9841524095420633,5.202578594597816,1.9732611007721357,-40.241339683958856,3.614439489269262,7.642195677179265,5.769162146208445
0.895,11.202786981269657,3.100115461655563,3.2790811383057523,5.584014189807263,2.169718701584114,-44.000044839442204,3.9740496203790796,8.349528138050124,6.340750694637289
0.9,12.282836256916609,3.4011102075267265,3.6074109196381925,6.00839794027412,2.387858275296985,-48.1575643273055,4.371160928444468,9.125200391029505,6.973589501308365
0.905,13.460554690826326,3.734137527038025,3.968797255610193,6.473930076929326,2.627344026359148,-52.700313666037886,4.804596891070416,9.964814655544963,7.666138641148579
0.91,14.730949168373083,4.09883380239102,4.362555562661452,6.977677272473917,2.88774440063452,-57.61129973125024,5.27317575505262,10.863813672972565,8.416550199205993
0.915,16.06925947608562,4.491044240202977,4.783338482584064,7.511979627032892,3.164909622018799,-62.80339112592154,5.767958389781949,11.802674420418004,9.212226976451726
0.92,17.48071928918588,4.911429163536077,5.232317119343181,8.073781848486579,3.460426353167689,-68.29516316537719,6.292614220799315,12.786715146000496,10.057160159704285
0.925,18.94963723195351,5.35741349179753,5.706447723378823,8.65698395772891,3.771723982437086,-74.03122333411952,6.841476348620569,13.803699138079034,10.943841611226414
0.93,20.456807839521804,5.824551012201566,6.20066704991553,9.253318736994196,4.095422783662344,-79.94065112364106,7.40787626798617,14.83999984684382,11.862007751877421
0.935,21.983687835266338,6.308121715480672,6.709821483027221,9.854763340153765,4.427994753137034,-85.95313412434051,7.985020944652399,15.882413045785418,12.801311187696923
